"Stanice.ID","JmÈno.stanice","ZaË·tek.mÏ¯enÌ","Konec.mÏ¯enÌ","ZemÏpisn·.dÈlka","ZemÏpisn·.öÌ¯ka","Nadmo¯sk·.v˝öka","element"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1961-01-01,1982-12-31,17.4639,48.9503,225,"SCE_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1983-01-01,2008-01-31,17.4597,48.9472,211,"SCE_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",2008-09-01,2020-12-31,17.4611,48.9465,211,"SCE_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1961-01-01,1982-12-31,17.4639,48.9503,225,"SNO_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1983-01-01,2008-01-31,17.4597,48.9472,211,"SNO_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",2008-09-01,2020-12-31,17.4611,48.9465,211,"SNO_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1961-01-01,1982-12-31,17.4639,48.9503,225,"SRA_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",1983-01-01,2008-01-31,17.4597,48.9472,211,"SRA_N"
"B1BLAT01","Blatnice pod svat˝m AntonÌnkem",2008-09-01,2020-12-31,17.4611,48.9465,211,"SRA_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"H_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"H_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"H_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"H_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"H_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"SCE_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"SCE_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"SCE_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"SCE_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"SCE_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"SNO_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"SNO_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"SNO_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"SNO_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"SNO_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"SRA_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"SRA_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"SRA_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"SRA_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"SRA_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"T_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"T_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"T_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"T_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"T_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"TMA_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"TMA_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"TMA_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"TMA_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"TMA_N"
"B1BOJK01","Bojkovice",1961-01-01,1971-02-15,17.8058,49.0372,271,"TMI_N"
"B1BOJK01","Bojkovice",1971-02-16,1984-01-31,17.8114,49.0369,275,"TMI_N"
"B1BOJK01","Bojkovice",1984-03-23,2003-03-31,17.8094,49.0386,281,"TMI_N"
"B1BOJK01","Bojkovice",2003-04-01,2013-05-31,17.81,49.0402,302,"TMI_N"
"B1BOJK01","Bojkovice",2013-06-01,2020-12-31,17.81,49.0402,310,"TMI_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"F_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"F_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"F_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"F_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"H_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"H_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"H_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"H_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"SCE_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"SCE_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"SCE_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"SCE_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"SNO_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Brumov",1963-07-01,1994-07-31,18.0231,49.0983,350,"SRA_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-01-01,1961-10-31,18.0075,49.0711,304,"T_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1961-11-01,1962-09-01,18.0083,49.0722,304,"T_N"
"B1BRBY01","Brumov-Bylnice, Bylnice",1962-11-01,1963-06-30,17.9969,49.0669,304,"T_N"
