"id";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"X";"Y";"nut3";"nam";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1BLAT01";211;"Blatnice";"Blatnice pod svat˝m AntonÌnkem";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.4611;48.9465;"Jihomoravsky";"Jihomoravsky/B1BLAT01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1BOJK01";310;"Bojkovice";"Bojkovice";"AKS3";TRUE;"SRA";"SCE";"";"";"";NA;"";17.81;49.0402;"Zlinsky";"Zlinsky/B1BOJK01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;NA;NA;6
"B1BUCH01";257;"Buchlovice";"Buchlovice";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.335389;49.089008;"Zlinsky";"Zlinsky/B1BUCH01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1BYSH01";314;"Byst¯ice pod Host˝nem";"Byst¯ice pod Host˝nem";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";17.6706;49.3964;"Zlinsky";"Zlinsky/B1BYSH01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1BZEN01";182;"Bzenec";"Bzenec";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.3055;48.9816;"Jihomoravsky";"Jihomoravsky/B1BZEN01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1DREV01";238;"D¯evohostice";"D¯evohostice";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";17.586111;49.424444;"Olomoucky";"Olomoucky/B1DREV01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HLHO01";348;"HornÌ Lhota";"HornÌ Lhota";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";17.8033;49.155;"Zlinsky";"Zlinsky/B1HLHO01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HLUK01";225;"Hluk";"Hluk";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";17.538;48.9863;"Zlinsky";"Zlinsky/B1HLUK01";NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HODO01";172;"HodonÌn";"HodonÌn";"MSS";NA;"SRA";"SCE";"";"";"";NA;"";17.104872;48.854292;"Jihomoravsky";"Jihomoravsky/B1HODO01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1HOLE01";222.25;"Holeöov";"Holeöov";"AMS1";TRUE;"SRA";"SCE";"";"SSV";"P";FALSE;"RGLB_D";17.57;49.320556;"Zlinsky";"Zlinsky/B1HOLE01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B1IVAN01";243;"Ivanovice na HanÈ";"Ivanovice na HanÈ";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";17.0894;49.3092;"Jihomoravsky";"Jihomoravsky/B1IVAN01";"tmax";"tavg";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1KLZI01";329;"LuhaËovice";"LuhaËovice, Kladn·-éilÌn";"AKS2";TRUE;"SRA";"SCE";"";"";"";FALSE;"";17.7925;49.0842;"Zlinsky";"Zlinsky/B1KLZI01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B1KOJE01";203;"KojetÌn";"KojetÌn";"ASS";NA;"SRA";"SCE";"";"";"";NA;"";17.2944;49.3527;"Olomoucky";"Olomoucky/B1KOJE01";"tmax";"tavg";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
