"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"T";"SRA";"SCE";"SCEa";"SSV";"P";"F";"RGLB";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";"params"
"B1BLAT01";17.4611;48.9465;211;"Blatnice";"Blatnice pod svat˝m AntonÌnkem";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1BOJK01";17.81;49.0402;310;"Bojkovice";"Bojkovice";"AKS3";TRUE;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;NA;NA;6
"B1BUCH01";17.335389;49.089008;257;"Buchlovice";"Buchlovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1BYSH01";17.6706;49.3964;314;"Byst¯ice pod Host˝nem";"Byst¯ice pod Host˝nem";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1BZEN01";17.3055;48.9816;182;"Bzenec";"Bzenec";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1DREV01";17.586111;49.424444;238;"D¯evohostice";"D¯evohostice";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HLHO01";17.8033;49.155;348;"HornÌ Lhota";"HornÌ Lhota";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HLUK01";17.538;48.9863;225;"Hluk";"Hluk";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1HODO01";17.104872;48.854292;172;"HodonÌn";"HodonÌn";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1HOLE01";17.57;49.320556;222.25;"Holeöov";"Holeöov";"AMS1";TRUE;"SRA";"SCE";NA;"SSV";"P";FALSE;"RGLB_D";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres";9
"B1IVAN01";17.0894;49.3092;243;"Ivanovice na HanÈ";"Ivanovice na HanÈ";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1KLZI01";17.7925;49.0842;329;"LuhaËovice";"LuhaËovice, Kladn·-éilÌn";"AKS2";TRUE;"SRA";"SCE";NA;NA;NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B1KOJE01";17.2944;49.3527;203;"KojetÌn";"KojetÌn";"ASS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA;7
"B1KRAL01";17.1827;49.4597;210;"Kralice na HanÈ";"Kralice na HanÈ";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1KROM01";17.3653;49.2847;233;"KromÏ¯Ìû";"KromÏ¯Ìû";"AKS1";TRUE;"SRA";"SCE";NA;"SSV";NA;FALSE;NA;"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA;8
"B1KVAS01";17.4703;49.2453;190;"Kvasice";"Kvasice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1LYSO01";16.968611;49.216667;275;"Lysovice";"Lysovice";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1MSLI01";17.2319;49.2417;289;"Morkovice-SlÌûany";"Morkovice-SlÌûany, SlÌûany";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1NAMH01";17.065;49.605;247;"N·mÏöù na HanÈ";"N·mÏöù na HanÈ";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
"B1NAPA01";17.5167;49.1833;185;"Napajedla";"Napajedla";"MSS";NA;"SRA";"SCE";NA;NA;NA;NA;NA;NA;NA;NA;NA;"prec";"snow";NA;NA;NA;2
