id;ELEVATION;NAME;FNAME;STATION_TYP;T;SRA;SCE;SCEa;SSV;P;F;RGLB;X;Y;nut3;nam
B1BLAT01;211;Blatnice;Blatnice pod svat˝m AntonÌnkem;MSS;;SRA;SCE;;;;;;17.4611;48.9465;Jihomoravsky;Jihomoravsky/B1BLAT01
B1BOJK01;310;Bojkovice;Bojkovice;AKS3;T;SRA;SCE;;;;;;17.81;49.0402;Zlinsky;Zlinsky/B1BOJK01
B1BUCH01;257;Buchlovice;Buchlovice;MSS;;SRA;SCE;;;;;;17.335389;49.089008;Zlinsky;Zlinsky/B1BUCH01
B1BYSH01;314;Byst¯ice pod Host˝nem;Byst¯ice pod Host˝nem;AKS2;T;SRA;SCE;;;;F;;17.6706;49.3964;Zlinsky;Zlinsky/B1BYSH01
B1BZEN01;182;Bzenec;Bzenec;MSS;;SRA;SCE;;;;;;17.3055;48.9816;Jihomoravsky;Jihomoravsky/B1BZEN01
B1DREV01;238;D¯evohostice;D¯evohostice;ASS;;SRA;SCE;;;;;;17.586111;49.424444;Olomoucky;Olomoucky/B1DREV01
B1HLHO01;348;HornÌ Lhota;HornÌ Lhota;ASS;;SRA;SCE;;;;;;17.8033;49.155;Zlinsky;Zlinsky/B1HLHO01
B1HLUK01;225;Hluk;Hluk;ASS;;SRA;SCE;;;;;;17.538;48.9863;Zlinsky;Zlinsky/B1HLUK01
B1HODO01;172;HodonÌn;HodonÌn;MSS;;SRA;SCE;;;;;;17.104872;48.854292;Jihomoravsky;Jihomoravsky/B1HODO01
B1HOLE01;222.25;Holeöov;Holeöov;AMS1;T;SRA;SCE;;SSV;P;F;RGLB_D;17.57;49.320556;Zlinsky;Zlinsky/B1HOLE01
B1IVAN01;243;Ivanovice na HanÈ;Ivanovice na HanÈ;AKS2;T;SRA;SCE;;;;F;;17.0894;49.3092;Jihomoravsky;Jihomoravsky/B1IVAN01
B1KLZI01;329;LuhaËovice;LuhaËovice, Kladn·-éilÌn;AKS2;T;SRA;SCE;;;;F;;17.7925;49.0842;Zlinsky;Zlinsky/B1KLZI01
B1KOJE01;203;KojetÌn;KojetÌn;ASS;;SRA;SCE;;;;;;17.2944;49.3527;Olomoucky;Olomoucky/B1KOJE01
B1KRAL01;210;Kralice na HanÈ;Kralice na HanÈ;MSS;;SRA;SCE;;;;;;17.1827;49.4597;Olomoucky;Olomoucky/B1KRAL01
B1KROM01;233;KromÏ¯Ìû;KromÏ¯Ìû;AKS1;T;SRA;SCE;;SSV;;F;;17.3653;49.2847;Zlinsky;Zlinsky/B1KROM01
B1KVAS01;190;Kvasice;Kvasice;MSS;;SRA;SCE;;;;;;17.4703;49.2453;Zlinsky;Zlinsky/B1KVAS01
B1LYSO01;275;Lysovice;Lysovice;MSS;;SRA;SCE;;;;;;16.968611;49.216667;Jihomoravsky;Jihomoravsky/B1LYSO01
B1MSLI01;289;Morkovice-SlÌûany;Morkovice-SlÌûany, SlÌûany;MSS;;SRA;SCE;;;;;;17.2319;49.2417;Zlinsky;Zlinsky/B1MSLI01
B1NAMH01;247;N·mÏöù na HanÈ;N·mÏöù na HanÈ;MSS;;SRA;SCE;;;;;;17.065;49.605;Olomoucky;Olomoucky/B1NAMH01
B1NAPA01;185;Napajedla;Napajedla;MSS;;SRA;SCE;;;;;;17.5167;49.1833;Zlinsky;Zlinsky/B1NAPA01
B1NIVN01;241;Nivnice;Nivnice;MSS;;SRA;SCE;;;;;;17.64502;48.98061;Zlinsky;Zlinsky/B1NIVN01
